destination,region,accessibility,popularity_score,ideal_days,budget_daily_min,budget_daily_max,mid_daily_min,mid_daily_max,luxury_daily_min,luxury_daily_max
Goa,West India,Easy,9,5,1400,2800,3300,6600,10800,26100
Ladakh (Leh),North India,Moderate,9,7,1500,3400,3900,7700,10700,22500
Jaipur,North India,Easy,9,3,1300,2600,2500,5600,8300,23700
Varanasi (Kashi),North India,Easy,9,3,1200,2400,2450,5000,6900,23800
Agra,North India,Easy,10,2,1400,2800,2800,5900,7000,24800
Udaipur,West India,Moderate,8,3,1400,2700,2550,5700,8000,25300
Kerala Backwaters (Alappuzha & Kumarakom),South India,Moderate,9,2,1550,3200,3200,6800,8200,25300
Coorg (Kodagu),South India,Moderate,7,3,1450,2800,2600,5200,7000,19400
Ziro Valley,Northeast India,Difficult,5,4,1450,2800,2600,5000,4900,11200
Mawlynnong & nearby (including Living Root Bridges region),Northeast India,Moderate,6,2,1450,2800,2600,5000,4900,11200
Shimla,North India,Easy,8,3,1450,2800,2600,5200,7000,19400
Dharamshala & McLeod Ganj,North India,Moderate,7,3,1350,2700,2400,4700,6000,16400
Manali,North India,Moderate,9,4,1600,3200,2900,6400,7500,20500
Tawang,Northeast India,Difficult,6,6,1550,3100,2800,5500,5400,12200
Khajjiar,North India,Moderate,5,1,1350,2600,2400,4700,4600,10800
Spiti Valley,North India,Difficult,6,7,1600,3100,3100,5900,5800,12000
Nubra Valley,North India,Moderate,7,2,1600,3300,3100,6200,7700,17700
Pangong Lake (Pangong Tso),North India,Moderate,8,2,4000,7200,6200,10500,10000,18500
Ooty (Udhagamandalam),South India,Moderate,8,3,1450,2800,2600,5700,7000,19400
Munnar,South India,Moderate,7,3,1500,2900,2600,5800,7000,19400
Kanyakumari,South India,Easy,7,2,1300,2500,2250,4500,4600,11500
"Rann of Kutch (White Desert, Dhordo)",West India,Moderate,7,2,2300,4200,4500,8800,9000,26500
Dhanushkodi (Ghost Town & Beach),South India,Moderate,4,1,1150,2400,2300,4700,4100,9700
Chitrakote Falls,Central India,Moderate,5,1,1150,2300,2200,4500,4000,9500
Gokarna,South India,Moderate,6,3,1200,2500,2250,4400,3900,11400
Pondicherry (Puducherry),South India,Easy,7,3,1400,2700,2550,5600,5800,16300
Hampi,South India,Moderate,8,3,1250,2600,2400,5200,4600,13100
Majuli Island,Northeast India,Moderate,5,3,1100,2200,2200,4500,4000,9500
Araku Valley,South India,Moderate,5,2,1100,2200,2200,4500,4000,9500
Varkala,South India,Moderate,7,3,1300,2500,2250,4900,4400,12400
Havelock Island (Swaraj Dweep),Island Territory,Moderate,9,3,2300,5500,4400,10700,9300,28000
Neil Island (Shaheed Dweep),Island Territory,Moderate,7,2,1800,3800,3400,7200,6500,16700
Shillong,Northeast India,Moderate,7,2,1450,2800,2600,5700,5800,16300
Cherrapunji & Mawsmai Area (Sohra region),Northeast India,Moderate,8,2,1550,3200,2800,6000,5500,14500
Dawki & Shnongpdeng,Northeast India,Moderate,7,1,1850,3800,3200,6200,5600,13200
Krang Suri Falls,Northeast India,Moderate,6,1,1300,2700,2400,4900,4200,9900
Rishikesh,North India,Easy,9,3,1350,2900,2600,5700,5200,17000
Haridwar,North India,Easy,8,2,850,1800,1650,3800,3600,10400
Varanasi (Kashi),North India,Easy,10,3,1150,2800,2500,5500,5100,16000
Amritsar,North India,Easy,9,2,1150,2700,2400,5400,5000,15700
Kanatal,North India,Moderate,5,3,1450,2900,2600,5700,5200,20100
Binsar,North India,Moderate,6,3,1800,3500,3100,6500,5900,13000
Munsiyari,North India,Difficult,6,4,1500,2900,2600,5700,5200,19900
Chakrata,North India,Moderate,5,3,1450,2800,2600,5200,4700,15800
Kanha National Park,Central India,Moderate,8,3,3900,7300,7100,13000,11900,30500
Ranthambore National Park,North India,Easy,9,3,3800,7100,6900,13700,12700,35300
Bandhavgarh National Park,Central India,Moderate,8,3,3900,7300,7100,13000,11900,28500
Tadoba Andhari Tiger Reserve,West India,Moderate,8,3,3900,7300,7100,13000,11900,28500
Lakshadweep (Agatti–Bangaram–Kadmat circuit),Island Territory,Difficult,7,5,4900,10700,9200,18000,15500,33000
Kalpeni Island (Lakshadweep),Island Territory,Difficult,5,2,3900,8600,7100,13500,12200,25500
Jaisalmer (Thar Desert & Fort Town),West India,Moderate,9,3,1650,3500,3000,6500,6300,21200
Kutch Interior Circuit (Bhuj–Mandvi–Villages),West India,Moderate,6,4,1750,3800,3500,6900,6400,14600
Coorg (Kodagu),South India,Moderate,8,3,1650,3700,3300,7200,6600,20700
Wayanad,South India,Moderate,7,3,1650,3700,3300,7200,6600,20700
Tamhini Ghat & Mulshi,West India,Moderate,6,1,1550,3500,3100,6600,6100,16700
Mahabaleshwar & Panchgani,West India,Moderate,8,3,1650,3700,3300,7700,7100,20700
Chikmagalur,South India,Moderate,7,3,1650,3700,3300,7200,6600,20700
Amboli Ghat,West India,Moderate,5,2,1450,3100,2700,5900,5400,16200
Agumbe & Western Ghats Rainforest Belt,South India,Moderate,5,3,1650,3700,3300,6700,6100,16700
Kudremukh & Surrounding Ghats,South India,Moderate,6,2,1650,3700,3300,7200,6600,14700
Havelock Island (Swaraj Dweep),Island Territory,Moderate,9,3,4600,10700,8900,18300,16000,38500
Neil Island (Shaheed Dweep),Island Territory,Moderate,8,2,3400,8100,7100,14000,11900,28000
Port Blair & Nearby Islands,Island Territory,Easy,8,2,2600,6300,5400,12500,11200,26500
Darjeeling,East India,Moderate,9,3,1750,3900,3500,7800,7100,20700
Gangtok & East Sikkim,North East India,Moderate,8,3,1750,4200,3700,8400,7600,23900
North Sikkim (Lachung–Lachen Belt),North East India,Difficult,7,3,2500,5300,4600,8500,7700,16500
Meghalaya (Shillong–Cherrapunji–Mawlynnong circuit),North East India,Moderate,8,4,1750,4300,3800,8600,7800,21000
Kaziranga National Park & Assam Tea Belt,North East India,Moderate,8,3,4000,7500,7100,13500,11900,25500
Khajuraho & Panna National Park,Central India,Moderate,7,3,1850,4400,3900,8700,8100,21500
Orchha & Nearby Betwa Landscapes,Central India,Moderate,6,2,1450,3800,3300,7400,6600,17000
Gokarna,South India,Moderate,8,3,1350,3400,2900,6600,6000,16900
Almora & Kasar Devi Belt,North India,Moderate,7,3,1300,3150,2650,6050,5400,14200
Tawang,North East India,Difficult,7,5,2000,4500,3900,8000,7100,18100
Spiti Valley,North India,Difficult,8,7,1650,3900,3300,7300,6300,17100
Jibhi & Tirthan Valley,North India,Moderate,8,3,1450,3400,2800,6100,5500,13300
Chitkul & Baspa Valley,North India,Difficult,7,2,1650,3700,3200,6400,5700,21800
Miyar Valley,North India,Difficult,5,7,1950,4700,3800,7600,6700,15500
Keoladeo National Park (Bharatpur Bird Sanctuary),North India,Easy,9,2,1650,4000,3500,7700,6900,17400
Ranganathittu Bird Sanctuary,South India,Easy,7,0.5,700,1600,1100,2400,1600,3100
Nal Sarovar Bird Sanctuary,West India,Easy,7,0.5,1050,2300,1500,3000,2100,3900
Great Rann of Kutch (White Desert),West India,Moderate,9,3,2600,5400,4800,10200,9300,27500
Jaisalmer & Thar Desert Dunes,West India,Moderate,9,3,1750,4200,3700,8100,7600,25000
Maravanthe & Karnataka Offbeat Coast,South India,Moderate,6,2,1550,3800,3200,7200,6300,14000
Astaranga & Ramachandi Beaches (Odisha Quiet Coast),East India,Moderate,6,1,1500,3550,2950,6600,5800,21000
Unakoti & North Tripura Heritage Belt,North East India,Moderate,6,1,1400,3150,2650,5800,5100,12000
Mamallapuram (Mahabalipuram) & Coromandel Heritage Coast,South India,Easy,9,2,1550,3600,3100,7000,6400,20700
Hidden Goa Coves (Butterfly & Nearby Beaches),West India,Moderate,7,2,1650,3800,3200,7200,6400,18300
Bangaram & Kadmat Islands (Lakshadweep Quiet Beaches),Island Territory,Difficult,7,4,6600,12000,11000,20500,19000,42500
Malanad–Malabar Backwater & Rural Belt,South India,Moderate,6,3,1550,3800,3200,7200,6400,16300
Krishna Heritage Circuit (Mathura–Vrindavan–Dwarka Focus),Multi-state,Easy,9,4,1200,3150,2600,6000,5400,15100
